time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-03-24T16:43:27.720Z,26.9117,127.2388,85.23,5.1,mww,,60,0.926,1.14,us,us20008uci,2017-03-24T18:20:32.173Z,"79km NW of Ishikawa, Japan",earthquake,7.1,5.1,,,reviewed,us,us
2017-03-24T09:00:56.840Z,3.313,-79.3802,10,5.3,mb,,58,1.606,1.22,us,us20008u8i,2017-03-24T10:04:21.891Z,"136km NW of Mosquera, Colombia",earthquake,4.9,1.8,0.024,577,reviewed,us,us
2017-03-24T08:53:14.330Z,-7.5893,128.0983,167.22,4.7,mb,,97,3.195,1.06,us,us20008u8e,2017-03-24T09:07:08.040Z,"298km ENE of Dili, East Timor",earthquake,5.9,8.6,0.093,35,reviewed,us,us
2017-03-24T04:34:14.370Z,-13.3466,-75.1737,75.05,4.5,mb,,138,2.115,1.23,us,us20008u74,2017-03-24T05:46:05.912Z,"67km SSW of Huancavelica, Peru",earthquake,2.7,8.9,0.091,38,reviewed,us,us
2017-03-24T04:24:30.980Z,37.5994,23.9153,161.86,4.7,mb,,64,1.639,1.15,us,us20008u70,2017-03-24T04:42:00.040Z,"13km SSW of Palaia Fokaia, Greece",earthquake,6.8,7.6,0.058,89,reviewed,us,us
2017-03-24T02:43:51.170Z,36.2108,142.5008,10,4.8,mb,,136,2.147,1.16,us,us20008u6l,2017-03-24T03:01:03.040Z,"159km ENE of Hasaki, Japan",earthquake,5.5,1.9,0.073,57,reviewed,us,us
2017-03-24T01:23:31.490Z,29.1283,67.2024,20.06,4.9,mb,,36,5.618,0.83,us,us20008u6b,2017-03-24T01:41:56.040Z,"58km SW of Dadhar, Pakistan",earthquake,8.3,4.7,0.048,137,reviewed,us,us
2017-03-23T20:27:29.120Z,19.2835,-155.1768333,8.342,4.49,ml,64,150,0.04516,0.12,hv,hv61658206,2017-03-24T16:56:44.608Z,"15km SSE of Volcano, Hawaii",earthquake,0.3,0.22,0.181,39,reviewed,hv,hv
2017-03-23T17:00:30.610Z,-7.1236,155.4991,10.93,4.9,mb,,91,4.416,0.92,us,us20008u36,2017-03-23T17:59:29.040Z,"89km S of Panguna, Papua New Guinea",earthquake,8.4,5.7,0.072,61,reviewed,us,us
2017-03-23T14:35:36.170Z,-7.8881,107.9963,72.45,4.7,mb,,129,2.503,1.07,us,us20008u18,2017-03-23T15:49:14.727Z,"15km SSW of Sindangkerta, Indonesia",earthquake,9.2,6.2,0.088,39,reviewed,us,us
2017-03-23T05:44:00.720Z,-5.2268,145.6987,80.99,4.6,mb,,116,4.396,0.91,us,us20008tyu,2017-03-23T06:07:20.040Z,"10km W of Madang, Papua New Guinea",earthquake,8.5,8.3,0.098,31,reviewed,us,us
2017-03-22T11:27:05.610Z,37.6554,71.9091,24.31,5.1,mb,,53,0.234,1.47,us,us20008tqc,2017-03-22T19:29:49.060Z,"33km ENE of Shughnon, Tajikistan",earthquake,5.6,4.8,0.056,103,reviewed,us,us
2017-03-22T08:02:27.240Z,-6.7451,129.7827,141.37,5.1,mb,,67,1.942,1.35,us,us20008tp8,2017-03-22T08:18:07.040Z,"215km NW of Saumlaki, Indonesia",earthquake,8.4,8.1,0.131,19,reviewed,us,us
2017-03-22T00:21:05.950Z,37.4334,141.3897,37.03,4.6,mb,,142,0.644,0.69,us,us20008tmx,2017-03-22T01:28:26.906Z,"34km E of Namie, Japan",earthquake,6.7,7.5,0.081,45,reviewed,us,us
2017-03-21T23:10:25.760Z,-8.6136,115.3023,118.42,5.5,mww,,24,4.781,1.44,us,us20008tme,2017-03-23T01:27:15.023Z,"2km NE of Banjar Pasekan, Indonesia",earthquake,7.4,6.2,,,reviewed,us,us
2017-03-21T21:08:12.530Z,13.692,144.7259,133.26,4.6,mb,,65,0.172,0.88,us,us20008tli,2017-03-21T22:02:36.130Z,"22km NNW of Dededo Village, Guam",earthquake,4.5,4.9,0.085,41,reviewed,us,us
2017-03-21T15:01:59.030Z,-21.5684,-68.4366,121.76,5,mwr,,29,0.782,0.82,us,us20008tjf,2017-03-22T11:42:31.361Z,"111km NNE of Calama, Chile",earthquake,7.1,6.6,,,reviewed,us,guc
2017-03-21T14:08:08.380Z,36.45,70.8169,131.17,4.5,mb,,104,0.701,1.17,us,us20008tjd,2017-03-21T14:57:30.040Z,"46km S of Jarm, Afghanistan",earthquake,7.9,7.3,0.124,19,reviewed,us,us
2017-03-21T13:13:39.180Z,-6.0379,104.3725,47.87,5.3,mb,,69,2.183,1.36,us,us20008tj0,2017-03-21T23:36:46.678Z,"66km SSW of Kotaagung, Indonesia",earthquake,8.2,5.4,0.057,104,reviewed,us,us
2017-03-21T11:58:44.010Z,-37.7421,179.6201,10,4.7,mb,,146,1.057,0.88,us,us20008tis,2017-03-21T13:49:56.040Z,"173km NE of Gisborne, New Zealand",earthquake,8.4,1.9,0.113,24,reviewed,us,us
2017-03-21T10:30:19.550Z,7.226,-73.88,101.24,4.7,mb,,37,2.405,1.09,us,us20008thx,2017-03-21T23:25:15.188Z,"13km S of Puerto Wilches, Colombia",earthquake,7.6,6.6,0.035,248,reviewed,us,us
2017-03-21T08:44:13.160Z,13.9014,-90.2747,106.84,4.6,mb,,166,1.035,1.03,us,us20008thd,2017-03-21T09:31:31.040Z,"11km SW of Pasaco, Guatemala",earthquake,7.9,9.2,0.095,33,reviewed,us,us
2017-03-21T08:31:22.160Z,6.2811,-77.5428,14.69,5,mb,,50,3.509,1.13,us,us20008thb,2017-03-22T12:30:31.869Z,"16km WNW of Mutis, Colombia",earthquake,6.9,4,0.044,164,reviewed,us,us
2017-03-21T04:29:11.690Z,-3.6911,-80.8815,27.84,4.8,mb,,116,1.144,0.8,us,us20008tgi,2017-03-21T20:36:03.393Z,"22km W of Zorritos, Peru",earthquake,7.8,5.3,0.041,180,reviewed,us,us
2017-03-20T22:41:16.140Z,15.1277,-94.0393,35,4.8,mb,,145,2.162,0.86,us,us20008tet,2017-03-21T03:32:25.040Z,"98km SSW of Tres Picos, Mexico",earthquake,7.8,2,0.029,366,reviewed,us,us
2017-03-20T21:36:25.060Z,-21.3661,-178.5336,564.32,4.9,mb,,97,8.395,0.84,us,us20008teh,2017-03-20T22:01:01.040Z,"81km SSE of Ndoi Island, Fiji",earthquake,12.7,6.4,0.054,106,reviewed,us,us
2017-03-20T21:03:14.910Z,-6.1327,150.7623,10,5,mb,,78,2.38,0.98,us,us20008te7,2017-03-20T21:24:07.040Z,"94km SE of Kimbe, Papua New Guinea",earthquake,7.8,1.6,0.063,79,reviewed,us,us
2017-03-20T19:01:47.920Z,11.1448,-60.8018,38.34,4.8,mb,,78,0.302,1.14,us,us20008tct,2017-03-21T13:53:14.971Z,"8km WSW of Scarborough, Trinidad and Tobago",earthquake,6.4,5.3,0.06,85,reviewed,us,us
2017-03-20T15:55:57.180Z,-7.6038,128.1837,105,5,mb,,38,3.109,0.89,us,us20008tbj,2017-03-20T16:46:35.040Z,"Kepulauan Barat Daya, Indonesia",earthquake,7.5,5.2,0.067,72,reviewed,us,us
2017-03-20T14:39:46.380Z,38.5775,39.7759,7.44,4.5,mb,,141,1.543,0.48,us,us20008tb9,2017-03-20T16:07:36.040Z,"15km NNW of Alacakaya, Turkey",earthquake,6.1,8.3,0.272,4,reviewed,us,us
2017-03-20T08:17:26.270Z,-27.044,-66.3764,168.57,4.6,mb,,29,3.443,1.37,us,us20008t9z,2017-03-20T08:35:48.040Z,"49km ENE of Hualfin, Argentina",earthquake,7.7,7.6,0.042,166,reviewed,us,us
2017-03-20T06:33:38.750Z,-5.3039,143.5796,109.2,5.2,mb,,22,4.976,1.07,us,us20008t9d,2017-03-20T06:53:43.040Z,"23km NW of Wabag, Papua New Guinea",earthquake,8.4,6.5,0.049,138,reviewed,us,us
2017-03-20T04:24:31.700Z,-8.1089,161.0101,10,5.2,mb,,63,1.687,0.87,us,us20008t93,2017-03-21T03:09:26.040Z,"80km NNE of Auki, Solomon Islands",earthquake,7.7,1.8,0.036,249,reviewed,us,us
2017-03-20T03:34:47.450Z,-18.0902,-178.0059,604.72,4.6,mb,,93,3.768,0.75,us,us20008t8k,2017-03-20T04:04:05.040Z,"292km NNE of Ndoi Island, Fiji",earthquake,7.5,7.1,0.053,106,reviewed,us,us
2017-03-20T01:43:19.410Z,-8.1243,161.1123,10,4.7,mb,,133,1.741,0.88,us,us20008t85,2017-03-21T02:21:01.040Z,"84km NNE of Auki, Solomon Islands",earthquake,10.3,1.9,0.085,42,reviewed,us,us
2017-03-19T20:34:58.820Z,-60.1111,150.6708,10,4.9,mb,,129,7.192,0.61,us,us20008t76,2017-03-21T20:08:38.040Z,"West of Macquarie Island",earthquake,11.2,2,0.14,16,reviewed,us,us
2017-03-19T18:57:24.180Z,-4.9607,152.8961,45.23,4.7,mb,,197,1.057,1.03,us,us20008t71,2017-03-19T19:16:40.040Z,"56km SSW of Taron, Papua New Guinea",earthquake,11.6,8.1,0.083,44,reviewed,us,us
2017-03-19T15:43:25.020Z,-8.1474,160.7369,4.23,6,mww,,32,1.501,0.92,us,us20008t6m,2017-03-24T15:57:27.703Z,"68km N of Auki, Solomon Islands",earthquake,7.3,3.3,,,reviewed,us,us
2017-03-19T11:38:12.340Z,-33.1835,-178.9844,13.79,5.1,mb,,79,4.028,1.51,us,us20008t5r,2017-03-19T11:56:19.040Z,"194km S of L'Esperance Rock, New Zealand",earthquake,10.7,5.3,0.119,23,reviewed,us,us
2017-03-19T10:35:24.760Z,-8.1596,38.1074,12.91,4.9,mb,,76,5.762,1.01,us,us20008t5l,2017-03-19T10:49:59.040Z,"74km WSW of Utete, Tanzania",earthquake,11,5.7,0.112,25,reviewed,us,us
2017-03-19T08:57:07.000Z,9.9577,93.5535,36.25,4.6,mb,,116,1.865,0.71,us,us20008t5c,2017-03-19T09:26:17.040Z,"208km SSE of Port Blair, India",earthquake,5.6,8.2,0.079,48,reviewed,us,us
2017-03-19T06:14:55.180Z,49.8638,159.3229,10,4.5,mb,,137,3.192,0.52,us,us20008t52,2017-03-19T06:40:32.040Z,"245km ESE of Severo-Kuril'sk, Russia",earthquake,4,1.9,0.104,27,reviewed,us,us
2017-03-19T03:18:03.580Z,-24.0606,-179.7599,493.68,4.6,mb,,99,5.417,0.95,us,us20008t41,2017-03-20T22:08:39.040Z,"South of the Fiji Islands",earthquake,11.3,9,0.07,62,reviewed,us,us
2017-03-18T23:46:22.730Z,-3.7939,151.363,10,4.5,mb,,90,0.89,0.47,us,us20008t3x,2017-03-19T00:41:16.040Z,"100km WNW of Rabaul, Papua New Guinea",earthquake,7.9,1.5,0.109,25,reviewed,us,us
2017-03-18T22:26:45.910Z,-20.3249,-68.6422,115.15,4.8,mb,,31,0.513,1.12,us,us20008t33,2017-03-18T23:02:59.040Z,"157km E of Iquique, Chile",earthquake,6.4,5.1,0.053,110,reviewed,us,us
2017-03-18T21:20:32.110Z,-2.9236,142.0383,10,4.7,mb,,72,8.207,0.83,us,us20008t2l,2017-03-18T21:38:17.040Z,"41km NW of Aitape, Papua New Guinea",earthquake,4.2,1.9,0.104,28,reviewed,us,us
2017-03-18T21:03:03.300Z,16.6973,120.6301,103.66,4.5,mb,,107,8.274,0.85,us,us20008t2h,2017-03-21T12:13:10.674Z,"2km W of Kibungan, Philippines",earthquake,11.8,7.7,0.067,65,reviewed,us,us
2017-03-18T18:15:28.590Z,34.4713,32.2271,33.69,4.5,mb,,53,1.032,1.15,us,us20008t1l,2017-03-21T16:37:36.175Z,"37km SSW of Paphos, Cyprus",earthquake,5.5,5.1,0.054,104,reviewed,us,us
2017-03-18T16:56:40.500Z,-8.1594,107.863,88.01,4.7,mb,,130,2.645,1.08,us,us20008t0q,2017-03-23T14:42:06.919Z,"48km SSW of Ciheras, Indonesia",earthquake,7.9,7.1,0.08,47,reviewed,us,us
2017-03-18T15:06:03.480Z,-2.7181,139.157,57.65,4.7,mb,,102,6.902,0.81,us,us20008t0c,2017-03-18T16:10:44.040Z,"158km W of Abepura, Indonesia",earthquake,10.2,7.4,0.084,43,reviewed,us,us
2017-03-18T12:12:21.950Z,1.8376,99.0438,143.64,4.6,mb,,78,0.858,0.73,us,us20008szt,2017-03-24T14:56:37.475Z,"31km ENE of Sibolga, Indonesia",earthquake,5.7,6.7,0.116,22,reviewed,us,us
2017-03-18T10:51:10.590Z,3.3068,98.4559,10,4.8,mb,,61,0.767,1.01,us,us20008szl,2017-03-18T14:56:16.437Z,"23km N of Kabanjahe, Indonesia",earthquake,5,0.8,0.077,52,reviewed,us,us
2017-03-18T10:47:16.690Z,-5.2702,151.8686,58.08,4.6,mb,,64,1.111,0.3,us,us20008szj,2017-03-18T12:05:19.040Z,"110km SSW of Kokopo, Papua New Guinea",earthquake,6.2,8.3,0.098,31,reviewed,us,us
2017-03-18T10:37:45.830Z,17.1774,-95.2029,99.09,5,mb,,80,3.069,0.9,us,us20008sze,2017-03-18T23:01:07.040Z,"14km WNW of Palomares, Mexico",earthquake,3.3,6.9,0.047,144,reviewed,us,us
2017-03-18T10:31:24.500Z,-23.2287,-112.4105,10,4.7,mb,,124,4.752,0.58,us,us20008szb,2017-03-18T11:30:09.040Z,"Easter Island region",earthquake,6.7,1.9,0.049,125,reviewed,us,us
2017-03-18T07:04:47.710Z,38.0751,70.5324,10,4.5,mb,,111,0.939,0.91,us,us20008syr,2017-03-18T07:30:14.040Z,"44km E of Muminobod, Tajikistan",earthquake,4,1.9,0.14,15,reviewed,us,us
2017-03-18T04:30:59.370Z,79.6519,3.4463,10,4.6,mb,,92,1.751,0.67,us,us20008sxw,2017-03-18T04:54:17.040Z,"Greenland Sea",earthquake,9.3,1.9,0.059,86,reviewed,us,us
2017-03-18T02:17:31.550Z,-7.9819,160.9227,35.15,5.1,mb,,101,1.739,0.72,us,us20008sxc,2017-03-23T00:03:49.040Z,"90km NNE of Auki, Solomon Islands",earthquake,8.1,1.7,0.059,92,reviewed,us,us
2017-03-18T01:33:28.910Z,38.597,143.8852,17.3,4.9,mb,,114,2.543,0.57,us,us20008sx9,2017-03-22T23:54:07.040Z,"188km ESE of Kamaishi, Japan",earthquake,6,4.5,0.051,119,reviewed,us,us
2017-03-18T01:15:35.040Z,-10.7954,115.1234,10,4.5,mb,,118,2.501,1.04,us,us20008sx7,2017-03-22T23:45:08.040Z,"217km S of Kangin, Indonesia",earthquake,8.1,1.9,0.102,28,reviewed,us,us
2017-03-18T00:57:53.520Z,-7.9813,160.8627,35,5,mb,,63,1.707,0.76,us,us20008sx1,2017-03-21T06:24:03.040Z,"88km NNE of Auki, Solomon Islands",earthquake,9.6,2,0.057,97,reviewed,us,us
2017-03-18T00:31:34.550Z,27.3027,65.5345,23.41,4.6,mb,,104,7.818,1.1,us,us20008swt,2017-03-21T06:16:23.692Z,"98km NNE of Awaran, Pakistan",earthquake,9.2,5.4,0.071,59,reviewed,us,us
2017-03-18T00:31:01.570Z,-59.5668,-28.0373,212.55,5.3,mb,,38,7.027,0.79,us,us20008swu,2017-03-21T06:11:30.040Z,"105km SW of Bristol Island, South Sandwich Islands",earthquake,9.7,2.9,0.044,176,reviewed,us,us
2017-03-17T23:26:00.170Z,-18.1301,-178.3428,594.86,4.9,mb,,46,3.452,0.72,us,us20008swl,2017-03-17T23:46:16.040Z,"281km N of Ndoi Island, Fiji",earthquake,11,7.4,0.031,323,reviewed,us,us
2017-03-17T22:28:02.110Z,2.9466,128.101,156.13,4.7,mb,,60,2.281,0.64,us,us20008sw7,2017-03-17T22:46:45.040Z,"135km N of Tobelo, Indonesia",earthquake,8.4,6.7,0.063,76,reviewed,us,us
